rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,early_or_late_groups
3400,569313,367919,connect,ended,384.0,545720.0,0.0,time delta btw 0 and 45 min,late btw 6h and 1 day
3407,570922,365926,connect,ended,-47.0,573294.0,510.0,time delta > 45 min,early more than 45 min
3419,572521,347208,connect,ended,-875.0,571139.0,180.0,time delta > 45 min,early more than 45 min
3421,572859,404128,connect,ended,725.0,571634.0,180.0,time delta > 45 min,late btw 6h and 1 day
3429,506161,369881,connect,ended,6.0,549345.0,30.0,time delta btw 0 and 45 min,late <= 45 min
3446,516737,288953,mobile,ended,-868.0,517435.0,30.0,time delta btw 0 and 45 min,early more than 45 min
3451,521258,371933,mobile,ended,-197.0,555541.0,180.0,time delta > 45 min,early more than 45 min
3466,526536,384479,mobile,ended,-17.0,538761.0,690.0,time delta > 45 min,early less than 45 min
3492,533317,381029,mobile,ended,1.0,539720.0,90.0,time delta > 45 min,late <= 45 min
3506,562717,402083,connect,ended,493.0,561928.0,360.0,time delta > 45 min,late btw 6h and 1 day
3518,548050,300505,connect,ended,-538.0,541486.0,0.0,time delta btw 0 and 45 min,early more than 45 min
3524,548388,297511,mobile,ended,160.0,546459.0,420.0,time delta > 45 min,late btw 2 and 3 hours
3529,548718,399575,connect,ended,73.0,558387.0,630.0,time delta > 45 min,late btw 45 min and 2 hour
3543,549270,405622,mobile,ended,21.0,549855.0,450.0,time delta > 45 min,late <= 45 min
3561,550250,403153,mobile,ended,-102.0,547495.0,630.0,time delta > 45 min,early more than 45 min
3563,550392,288953,mobile,ended,-23.0,547476.0,150.0,time delta > 45 min,early less than 45 min
3572,550830,374298,connect,ended,-200.0,550317.0,90.0,time delta > 45 min,early more than 45 min
3588,563387,366164,connect,ended,-146.0,536892.0,360.0,time delta > 45 min,early more than 45 min
3590,563572,264457,mobile,ended,92.0,566229.0,240.0,time delta > 45 min,late btw 45 min and 2 hour
3592,563721,413181,mobile,ended,2.0,560542.0,150.0,time delta > 45 min,late <= 45 min
3602,564819,394928,connect,ended,-126.0,567186.0,540.0,time delta > 45 min,early more than 45 min
3621,566398,241021,connect,ended,-288.0,568399.0,0.0,time delta btw 0 and 45 min,early more than 45 min
3637,567288,386259,connect,ended,-86.0,559685.0,180.0,time delta > 45 min,early more than 45 min
3644,567968,223850,mobile,ended,-6.0,561253.0,210.0,time delta > 45 min,early less than 45 min
3648,568141,224728,mobile,ended,37.0,567789.0,30.0,time delta btw 0 and 45 min,late <= 45 min
3650,568439,368432,mobile,ended,-25.0,560404.0,90.0,time delta > 45 min,early less than 45 min
3656,568967,364907,connect,ended,37.0,555169.0,60.0,time delta > 45 min,late <= 45 min
3659,569297,390467,connect,ended,-451.0,566704.0,150.0,time delta > 45 min,early more than 45 min
3663,569683,310444,connect,ended,77.0,565569.0,450.0,time delta > 45 min,late btw 45 min and 2 hour
3665,570039,363377,mobile,ended,17.0,562077.0,180.0,time delta > 45 min,late <= 45 min
3695,522151,259952,mobile,ended,-97.0,550409.0,0.0,time delta btw 0 and 45 min,early more than 45 min
