rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,early_groups
238,531511,296967,connect,ended,-11.0,,,time delta > 2 hours,early less than 2 hours
239,532257,289901,connect,ended,-157.0,,,time delta > 2 hours,early more than 2 hours
240,532328,259952,mobile,ended,-38.0,,,time delta > 2 hours,early less than 2 hours
241,532670,369634,mobile,ended,-95.0,,,time delta > 2 hours,early less than 2 hours
242,571284,403149,mobile,ended,-33.0,,,time delta > 2 hours,early less than 2 hours
243,571549,370907,mobile,ended,-36.0,,,time delta > 2 hours,early less than 2 hours
244,573680,300345,mobile,ended,-25.0,,,time delta > 2 hours,early less than 2 hours
245,574171,381499,connect,ended,-174.0,,,time delta > 2 hours,early more than 2 hours
246,574868,371387,mobile,ended,-129.0,571864.0,720.0,time delta > 2 hours,early more than 2 hours
247,505576,300601,mobile,ended,-2.0,,,time delta > 2 hours,early less than 2 hours
248,505628,194343,connect,ended,-60.0,,,time delta > 2 hours,early less than 2 hours
249,506728,382700,mobile,ended,-67.0,,,time delta > 2 hours,early less than 2 hours
250,509168,299180,mobile,ended,-51.0,,,time delta > 2 hours,early less than 2 hours
251,509315,190163,mobile,ended,-105.0,,,time delta > 2 hours,early less than 2 hours
252,509587,345738,mobile,ended,-58.0,,,time delta > 2 hours,early less than 2 hours
253,510797,399549,mobile,ended,-14.0,,,time delta > 2 hours,early less than 2 hours
254,512503,390347,mobile,ended,-98.0,,,time delta > 2 hours,early less than 2 hours
255,513317,358772,connect,ended,-8.0,,,time delta > 2 hours,early less than 2 hours
256,514494,348178,mobile,ended,-234.0,,,time delta > 2 hours,early more than 2 hours
257,515229,304392,connect,ended,-24.0,,,time delta > 2 hours,early less than 2 hours
258,516962,398697,mobile,ended,-17.0,,,time delta > 2 hours,early less than 2 hours
259,518261,391287,mobile,ended,-7.0,,,time delta > 2 hours,early less than 2 hours
260,508850,188941,mobile,ended,-179.0,,,time delta > 2 hours,early more than 2 hours
261,514557,364038,mobile,ended,-1.0,,,time delta > 2 hours,early less than 2 hours
262,519682,296967,connect,ended,-223.0,,,time delta > 2 hours,early more than 2 hours
263,519728,310636,connect,ended,-87.0,,,time delta > 2 hours,early less than 2 hours
264,520613,346755,connect,ended,-120.0,,,time delta > 2 hours,early more than 2 hours
265,524013,167023,mobile,ended,-10.0,,,time delta > 2 hours,early less than 2 hours
266,526102,346840,mobile,ended,-2791.0,,,time delta > 2 hours,early more than 2 hours
267,529269,361156,mobile,ended,0.0,,,time delta > 2 hours,early less than 2 hours
268,529753,256932,mobile,ended,-761.0,,,time delta > 2 hours,early more than 2 hours
269,530441,283806,mobile,ended,-117.0,,,time delta > 2 hours,early less than 2 hours
270,530803,373677,mobile,ended,-2.0,,,time delta > 2 hours,early less than 2 hours
271,531713,371159,connect,ended,-125.0,,,time delta > 2 hours,early more than 2 hours
272,533534,385666,mobile,ended,-159.0,,,time delta > 2 hours,early more than 2 hours
273,533968,378850,mobile,ended,-25.0,,,time delta > 2 hours,early less than 2 hours
274,534448,364160,connect,ended,-94.0,,,time delta > 2 hours,early less than 2 hours
275,534953,389348,mobile,ended,-6.0,,,time delta > 2 hours,early less than 2 hours
276,535519,353425,connect,ended,-166.0,533413.0,0.0,time delta btw 0 and 2 hours,early more than 2 hours
277,535750,160062,mobile,ended,-26.0,,,time delta > 2 hours,early less than 2 hours
278,535870,308073,connect,ended,-37.0,,,time delta > 2 hours,early less than 2 hours
279,536169,392718,mobile,ended,-2.0,,,time delta > 2 hours,early less than 2 hours
280,536470,323095,mobile,ended,-477.0,,,time delta > 2 hours,early more than 2 hours
281,536680,313772,connect,ended,-180.0,,,time delta > 2 hours,early more than 2 hours
282,536823,299776,mobile,ended,-18.0,,,time delta > 2 hours,early less than 2 hours
283,537452,320834,connect,ended,-117.0,,,time delta > 2 hours,early less than 2 hours
284,537660,301422,mobile,ended,-199.0,,,time delta > 2 hours,early more than 2 hours
285,537865,374698,mobile,ended,-227.0,,,time delta > 2 hours,early more than 2 hours
286,507758,208207,mobile,ended,-25.0,,,time delta > 2 hours,early less than 2 hours
287,508087,311437,mobile,ended,-29.0,,,time delta > 2 hours,early less than 2 hours
288,508483,308414,mobile,ended,-230.0,,,time delta > 2 hours,early more than 2 hours
289,509753,399936,mobile,ended,-113.0,,,time delta > 2 hours,early less than 2 hours
290,510743,375586,mobile,ended,-6.0,,,time delta > 2 hours,early less than 2 hours
291,513383,245338,mobile,ended,-1.0,,,time delta > 2 hours,early less than 2 hours
292,517671,401475,connect,ended,-249.0,,,time delta > 2 hours,early more than 2 hours
293,518203,397095,mobile,ended,-31.0,,,time delta > 2 hours,early less than 2 hours
294,519328,385783,mobile,ended,-4.0,,,time delta > 2 hours,early less than 2 hours
295,521013,190171,mobile,ended,-50.0,,,time delta > 2 hours,early less than 2 hours
296,525244,403648,mobile,ended,-33.0,,,time delta > 2 hours,early less than 2 hours
297,527046,298757,connect,ended,-281.0,,,time delta > 2 hours,early more than 2 hours
298,527199,388767,mobile,ended,-79.0,513582.0,180.0,time delta > 2 hours,early less than 2 hours
299,529332,406559,mobile,ended,-45.0,,,time delta > 2 hours,early less than 2 hours
300,530029,403275,connect,ended,-8.0,,,time delta > 2 hours,early less than 2 hours
301,530606,377219,connect,ended,-346.0,,,time delta > 2 hours,early more than 2 hours
302,531483,341184,mobile,ended,-13.0,,,time delta > 2 hours,early less than 2 hours
303,531551,379018,mobile,ended,-31.0,,,time delta > 2 hours,early less than 2 hours
304,531842,348293,connect,ended,-117.0,,,time delta > 2 hours,early less than 2 hours
305,532664,387939,mobile,ended,-221.0,,,time delta > 2 hours,early more than 2 hours
306,532816,300724,mobile,ended,-7.0,,,time delta > 2 hours,early less than 2 hours
307,532877,338864,mobile,ended,-56.0,,,time delta > 2 hours,early less than 2 hours
308,533230,391325,mobile,ended,-47.0,,,time delta > 2 hours,early less than 2 hours
309,533972,374989,mobile,ended,-25.0,,,time delta > 2 hours,early less than 2 hours
310,534218,380748,mobile,ended,-13.0,,,time delta > 2 hours,early less than 2 hours
311,534319,325139,mobile,ended,-77.0,,,time delta > 2 hours,early less than 2 hours
312,534537,407875,mobile,ended,-13.0,,,time delta > 2 hours,early less than 2 hours
313,534556,273591,mobile,ended,-49.0,,,time delta > 2 hours,early less than 2 hours
314,534787,365710,mobile,ended,-107.0,,,time delta > 2 hours,early less than 2 hours
315,534863,206019,mobile,ended,-85.0,,,time delta > 2 hours,early less than 2 hours
316,535091,369339,mobile,ended,-50.0,,,time delta > 2 hours,early less than 2 hours
