rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups
398,565108,354331,mobile,ended,-55.0,,,time delta > 2 hours
399,565143,381435,mobile,ended,-100.0,,,time delta > 2 hours
400,565205,406475,mobile,ended,-80.0,,,time delta > 2 hours
401,565340,415170,mobile,ended,41.0,,,time delta > 2 hours
402,565494,368210,mobile,ended,45.0,,,time delta > 2 hours
403,565512,376391,mobile,ended,436.0,,,time delta > 2 hours
404,565540,281518,mobile,ended,-43.0,,,time delta > 2 hours
405,505091,213807,connect,ended,-155.0,,,time delta > 2 hours
406,505567,308565,mobile,ended,-3.0,,,time delta > 2 hours
407,505859,268874,mobile,ended,42.0,,,time delta > 2 hours
408,506321,393781,connect,ended,-1.0,,,time delta > 2 hours
409,506970,226932,mobile,ended,-10.0,,,time delta > 2 hours
410,507103,393584,mobile,ended,15.0,,,time delta > 2 hours
411,507112,221297,mobile,ended,7.0,,,time delta > 2 hours
412,509566,372647,mobile,ended,181.0,,,time delta > 2 hours
413,509688,339975,mobile,ended,14.0,,,time delta > 2 hours
414,511872,386539,mobile,ended,7.0,,,time delta > 2 hours
415,512237,382279,mobile,ended,-10.0,,,time delta > 2 hours
416,514673,402194,mobile,ended,-52.0,,,time delta > 2 hours
417,516244,349131,mobile,ended,-34.0,,,time delta > 2 hours
418,516585,389785,connect,ended,162.0,,,time delta > 2 hours
419,519260,359719,mobile,ended,946.0,,,time delta > 2 hours
420,519450,358846,mobile,ended,-12.0,,,time delta > 2 hours
